Date,Action,Filenames,Output Path
2025-05-15 17:25:14,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 17:28:07,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 17:30:39,Process,"Test 3.pdf, Test 1.pdf, Test 2.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 17:39:22,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 17:39:58,Process,"MAB TRash Panda Erth Day 2025.pdf, 2.0 .pdf, c-sc918955-1  D A Arrowsmith and witness IDs.pdf, Chocolate .pdf, Earth_Day_Bingo_2025 MAB .pdf, Earth_Day_Bingo_2025 MAB final .pdf, Earth_Day_Bingo_2025 MAB FINAL 2.0.pdf, Earth_Day_Bingo_2025 MAB. .pdf, IMG_7916.HEIC.pdf, MAB Notary .pdf, MAB Notary Cert .pdf, MAB Notary Cert 1.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 19:05:05,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 20:23:12,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 22:25:50,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 22:39:55,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-15 22:52:33,Process,"Test 1.pdf, Test 2.pdf, Test 3.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-15
2025-05-16 10:32:32,Process,documents to closing (5)_1747351360.pdf-undefined-16052025.pdf,/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-16
2025-05-16 18:04:36,Process,"final_closing_package_to_signing_agent__61__1747240831-255317-2-16052025.pdf, documents_to_closing_1747412105-3499610-2-16052025.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-16
2025-05-17 09:55:56,Process,documents to closing (6)_1747439368.pdf-undefined-17052025.pdf,/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-17
2025-05-17 17:09:37,Process,"final_closing_package_to_signing_agent__74__1747348817-253518-17052025.pdf, merta docs 5.18_1747486562.pdf-undefined-17052025.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-17
2025-05-18 20:12:44,Process,"ilovepdf_merged_1747403290-01-01815781-19052025.pdf, mortgage_connect_-_final_closing_package_to_signing_agent__3__1747429866-3509677-2-19052025.pdf, final_closing_package_to_signing_agent__74__1747348817-253518-19052025.pdf, seller_unsigned_closing_package_1747422226-3488325-5-19052025.pdf, notary_docs_1747250043-C-SC919335-1-19052025.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-18
2025-05-19 13:57:35,Process,closing_bundle__23__1747676082-2003417767-19052025.pdf,/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19
2025-05-19 22:11:27,Process,"3462331_docs_1747673726-3462231-2-20052025.pdf, final_closing_package_to_signing_agent__76__1747686661-247412-2-20052025.pdf, closing_bundle__23__1747676082-2003417767-19052025.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19
2025-05-19 22:12:08,Process,final closing package to signing agent (75)_1747436347.pdf-undefined-20052025.pdf,/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19
2025-05-19 22:14:37,Merge,"C Wolf .pdf, 05092029_Notary Public J r A- Notary Public Name  .pdf, 05192025_resulting from changes in the Index will take effect mo.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19/Unknown_X_05192025/Unknown_X_05192025 Complete and Signed 2025-05-19 (Merged).pdf
2025-05-19 22:18:27,Merge,"C Wolf .pdf, 05092029_Notary Public J r A- Notary Public Name  .pdf, 05192025_resulting from changes in the Index will take effect mo.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19/Unknown_X_05192025/Unknown_X_05192025 Complete and Signed 2025-05-19 (Merged).pdf
2025-05-19 22:19:32,Merge,"C Wolf .pdf, 05092029_Notary Public J r A- Notary Public Name  .pdf, 05192025_resulting from changes in the Index will take effect mo.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19/Unknown_X_05192025/Unknown_X_05192025 Complete and Signed 2025-05-19 (Merged).pdf
2025-05-19 22:21:25,Merge,"C Wolf .pdf, 05092029_Notary Public J r A- Notary Public Name  .pdf, 05192025_resulting from changes in the Index will take effect mo.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19/Unknown_X_05192025/Unknown_X_05192025 Complete and Signed 2025-05-19 (Merged).pdf
2025-05-19 22:25:30,Merge,"C Wolf .pdf, 05092029_Notary Public J r A- Notary Public Name  .pdf, 05192025_resulting from changes in the Index will take effect mo.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-19/Unknown_X_05192025/Unknown_X_05192025 Complete and Signed 2025-05-19 (Merged).pdf
2025-05-20 11:32:53,Process,"buyer unsigned closing package_1747670186.pdf-undefined-20052025.pdf, final closing package to signing agent (76)_1747686661.pdf-undefined-20052025.pdf, final_closing_package_to_signing_agent__33__1747708897-3505655-3-20052025.pdf",
2025-05-21 09:00:06,Process,"buyer_unsigned_closing_package_1747670186-3488325-3-21052025.pdf, shelton_docs_5.21_1747830131-9116864-1-21052025.pdf",
2025-05-21 21:15:24,Process,documents to closing (7)_1747854094.pdf-undefined-21052025.pdf,
2025-05-21 21:29:14,Process,FINAL CLOSING PACKAGE TO SIGNING AGENT.2 (2).pdf,
2025-05-21 21:29:15,Process,FINAL CLOSING PACKAGE TO SIGNING AGENT.2 (2).pdf,
2025-05-21 21:30:33,Process,campbell docs 5.22_1747848949.pdf-undefined-21052025.pdf,
2025-05-23 22:27:42,Process,notary docs_1747864208.pdf-undefined-24052025.pdf,
2025-05-23 23:06:51,Process,"bank docs final_1748015648.pdf-undefined-24052025.pdf, 1zav24190199422620 (1)_1748015677.pdf-undefined-24052025.pdf",
2025-05-25 08:06:31,Merge,"notary_docs_1748024118-c-sc920266-25052025.pdf, closing_bundle_-_2025-05-16t184635.398_1747435601-2003569477-25052025.pdf",/Users/michaelbrooks/Documents/Agents/AgentClioProject/MAB Law LLC/2025-05-25/Jacobs_L/Jacobs_L_05252025 Complete and Signed 2025-05-25 (Merged).pdf
2025-05-27 14:33:56,Process,1022777973_clo_1748366236-9091518-7-27052025.pdf,
2025-05-27 14:54:11,Process,"original doc required_1747924210.pdf-undefined-27052025.pdf, notary docs_1747924206.pdf-undefined-27052025.pdf, free and clear affidavit_1747924208.pdf-undefined-27052025.pdf",
2025-05-27 15:06:21,Process,buyer unsigned resign closing package_1748034841.pdf-undefined-27052025.pdf,
2025-05-27 15:06:21,Process,buyer unsigned resign closing package_1748034841.pdf-undefined-27052025.pdf,
2025-05-27 15:06:22,Process,buyer unsigned resign closing package_1748034841.pdf-undefined-27052025.pdf,
2025-05-27 15:06:22,Process,buyer unsigned resign closing package_1748034841.pdf-undefined-27052025.pdf,
2025-05-27 15:06:22,Process,buyer unsigned resign closing package_1748034841.pdf-undefined-27052025.pdf,
2025-05-27 15:08:34,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:35,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:35,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:35,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:35,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:36,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:36,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:36,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:08:37,Process,closing_bundle_-_2025-05-26t225326.583_1748314541-2003389992-27052025.pdf,
2025-05-27 15:33:03,Process,buyer unsigned resign closing package_1748034841.pdf-undefined-27052025.pdf,
2025-05-28 15:12:16,Process,closing_package_unsigned__2025-05-28_09.49_am__1748440244-_SCP25-500570-1-28052025.pdf,
2025-05-30 13:11:26,Process,greenwood_docs_5.31_1748624701-2003556429-1-30052025.pdf,
2025-05-30 13:11:27,Process,greenwood_docs_5.31_1748624701-2003556429-1-30052025.pdf,
2025-05-30 13:11:27,Process,greenwood_docs_5.31_1748624701-2003556429-1-30052025.pdf,
2025-05-30 13:11:28,Process,greenwood_docs_5.31_1748624701-2003556429-1-30052025.pdf,
2025-05-30 15:13:59,Process,cockrell docs6.2_1748626645.pdf-undefined-30052025.pdf,
2025-05-30 15:16:55,Process,closing bundle - 2025-05-30t151531.110_1748632540.pdf-undefined-30052025.pdf,
2025-06-02 08:06:40,Process,"cockrell docs6.2_1748626645.pdf-undefined-02062025.pdf, closing bundle - 2025-05-30t151531.110_1748632540.pdf-undefined-30052025.pdf",
2025-06-04 11:09:25,Process,"00083452771_clo_1748979681-9068494-5-04062025.pdf, closing_bundle_-_2025-06-04t110417.603_1749049468-2003468028-04062025.pdf",
2025-06-04 13:40:02,Process,closing_bundle_-_2025-06-04t132600.650_1749057970-2003596722-1-04062025.pdf,
2025-06-05 11:11:18,Process,closing_bundle_-_2025-06-05t104751.938_1749134879-2003506446-05062025.pdf,
2025-06-05 13:28:08,Process,"closing_bundle_-_2025-06-05t112949.119_1749137397-2003591597-05062025.pdf, closing_bundle_-_2025-06-05t125112.232_1749142282-2003586279-05062025.pdf",
2025-06-05 13:28:25,Process,"shippinglabels_1749138776.pdf-undefined-05062025.pdf, seller unsigned resign closing package_1749138774.pdf-undefined-05062025.pdf",
2025-06-05 13:55:08,Process,seller unsigned resign closing package_1749138774.pdf-undefined-05062025.pdf,
2025-06-05 15:15:44,Process,closing_bundle_-_2025-06-05t125112.232_1749142282-2003586279-05062025.pdf,
2025-06-06 14:34:25,Process,closing_bundle_-_2025-06-05t173407.258_1749159263-2003610907-06062025.pdf,
2025-06-06 18:19:17,Process,closing_bundle_-_2025-06-06t155518.080_1749239730-2003402858-06062025.pdf,
2025-06-09 10:47:07,Process,ilovepdf_merged (1)_1749479561.pdf-undefined-09062025.pdf,
2025-06-09 20:06:16,Process,closing_bundle_-_2025-06-09t190503.319_1749510389-2003633468-10062025.pdf,
2025-06-09 21:10:58,Process,whay_k_6-9-25__1749508796-08-02586663-c-09062025.pdf,
2025-06-09 21:16:55,Process,ilovepdf_merged (1)_1749479561.pdf-undefined-09062025.pdf,
2025-06-09 22:34:50,Process,closing_bundle_-_2025-06-09t190503.319_1749510389-2003633468-10062025.pdf,
2025-06-09 22:39:36,Process,ilovepdf_merged (1)_1749479561.pdf-undefined-09062025.pdf,
2025-06-09 22:54:46,Process,FINAL CLOSING PACKAGE TO SIGNING AGENT.2 (2).pdf,
2025-06-09 23:09:56,Process,final closing package to signing agent (61)_1747240831.pdf-undefined-18052025.pdf,
2025-06-09 23:15:58,Process,documents_to_closing_1747412105-3499610-2-17052025.pdf,
2025-06-09 23:30:16,Process,shelton_docs_5.21_1747830131-9116864-1-21052025.pdf,"shelton_docs_5.21_1747830131-9116864-1-21052025.pdf → Letter:78, Legal:0, Other:0
"
2025-06-09 23:34:48,Process,berol k 5-29-25 _1748567538.pdf-undefined-30052025.pdf,"berol k 5-29-25 _1748567538.pdf-undefined-30052025.pdf → Letter:156, Legal:2, Other:14
"
2025-06-09 23:49:54,Process,berol k 5-29-25 _1748567538.pdf-undefined-30052025.pdf,"berol k 5-29-25 _1748567538.pdf-undefined-30052025.pdf → Letter:156, Legal:2, Other:14
"
2025-06-10 17:20:36,Process,00083531517_clo_1749583448-9116826-4-10062025.pdf,"00083531517_clo_1749583448-9116826-4-10062025.pdf → Letter:85, Legal:0, Other:0
"
2025-06-11 09:10:14,Process,closing-docs_1749576021.pdf-undefined-10062025.pdf,"closing-docs_1749576021.pdf-undefined-10062025.pdf → Letter:115, Legal:15, Other:0
"
2025-06-11 09:42:13,Process,closing_bundle_-_2025-06-09t190503.319_1749510389-2003633468-11062025.pdf,"closing_bundle_-_2025-06-09t190503.319_1749510389-2003633468-11062025.pdf → Letter:88, Legal:13, Other:1
"
2025-06-11 14:30:41,Process,00083531517_clo_1749583448-9116826-4-11062025.pdf,"00083531517_clo_1749583448-9116826-4-11062025.pdf → Letter:85, Legal:0, Other:0
"
2025-06-11 16:12:21,Process,1023014533_clo_1749647774-9152534-5-11062025.pdf,"1023014533_clo_1749647774-9152534-5-11062025.pdf → Letter:43, Legal:8, Other:0
"
2025-06-11 21:08:50,Process,"1023014533_clo_1749647774-9152534-5-12062025.pdf, closing_bundle__22__1749648100-2003703884-12062025.pdf, 6110517767_clo_1749653017-9142166-5-12062025.pdf","1023014533_clo_1749647774-9152534-5-12062025.pdf → Letter:43, Legal:8, Other:0
closing_bundle__22__1749648100-2003703884-12062025.pdf → Letter:52, Legal:10, Other:1
6110517767_clo_1749653017-9142166-5-12062025.pdf → Letter:79, Legal:4, Other:0
"
2025-06-12 22:40:19,Process,smithupdateddocs.pdf,"smithupdateddocs.pdf → Letter:53, Legal:10, Other:1
"
2025-06-15 12:06:44,Process,notary docs_1749769472.pdf-undefined-15062025.pdf,"notary docs_1749769472.pdf-undefined-15062025.pdf → Letter:98, Legal:13, Other:0
"
2025-06-15 17:29:26,Process,"closing_bundle__39__1749833820-2003728527-15062025.pdf, notary_docs_1749664660-c-sc920839-15062025.pdf, notary_docs_1749662068-C-SC920309-1-15062025.pdf","closing_bundle__39__1749833820-2003728527-15062025.pdf → Letter:63, Legal:0, Other:1
notary_docs_1749664660-c-sc920839-15062025.pdf → Letter:72, Legal:13, Other:0
notary_docs_1749662068-C-SC920309-1-15062025.pdf → Letter:77, Legal:15, Other:0
"
2025-07-01 14:15:37,Process,notary_docs_1751393621-c-sc923677-01072025.pdf,"notary_docs_1751393621-c-sc923677-01072025.pdf → Letter:73, Legal:13, Other:0
"
2025-07-11 23:29:51,Process,closing bundle - 2025-07-10t163125.059_1752179514.pdf-undefined-12072025.pdf,"closing bundle - 2025-07-10t163125.059_1752179514.pdf-undefined-12072025.pdf → Letter:115, Legal:16, Other:1
"
